regulator,target,sign,K,half_response,hill_coefficient,source,mode,pmids
Ets2,Ifne,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15217985
Rela,Ifng,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12842891
Jun,Ifng,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,8982782;12594853;14734615;11801649
Pparg,Ifng,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,15187132
Rel,Ifng,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,17012234
Gata3,Ifng,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,17717199
Spi1,Igh,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14993928
Myod1,Igh,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,7958889
Ets1,Ighm,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,8754855
Spi1,Ighm,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10435575;8754855
Nfkb1,Igk,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19710460;9738466
Rela,Igk,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19710460
Tcf3,Igk,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,1714414;12415115;22544934;9671474
Rel,Igk,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19710460
Ctnnb1,Ihh,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,16818445
Runx2,Ihh,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15183720;15107406
Msx2,Ihh,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18682398
Nfkb1,Ikbkb,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19433583
Ets1,Ikzf1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,25301737
Foxo1,Ikzf1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,22291095
Nfkb1,Il1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18166486
Sp1,Il10,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10861063;10861064
Sp3,Il10,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10861063;10861064
Ets1,Il10,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,22266280
Nfe2l2,Il10,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21454555
Smad4,Il10,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14557415
Nfkb1,Il12a,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11602633;15871905
Stat3,Il12a,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,19185846
Egr1,Il12a,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17117479
Rel,Il12a,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11602633;16166378;15871905
Irf1,Il12a,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14568984;15489234;16824573
Rela,Il12b,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,7565674;11058167;15251981;19624579
Jun,Il12b,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16893987;19893639
Rel,Il12b,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16166378;17291992;18523276;7565674;11058167;15251981
Cebpa,Il12b,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10940886
Foxa2,Il13,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,20483781
Lef1,Il13,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,18579517
Gata3,Il13,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17111354
Srebf1,Il17a,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,21266768
Hnf1a,Il17a,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,21935461
Ahr,Il17a,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,21266768;21266776
Nfkb1,Il1a,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11454276
Nfkb1,Il1b,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10437651;11454276;14670622;16399630;16867259;24132147;19915568
Egr1,Il1b,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12468449
Spi1,Il1b,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,22454293
Cebpb,Il1b,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14670622;16399630;16867259
Rel,Il1b,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10437651
Mef2c,Il1rn,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21454555
Nrf1,Il1rn,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21454555
Sp1,Il2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10656874
Nfkb1,Il2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15632058;16611855;15585831;16168555;7744006;8577772;9547358
Rela,Il2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,23578476;15585831;8577772
Jun,Il2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,8092900;16168555;1737937;2124241
Egr1,Il2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10656874
Nfkb1,Il23a,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,20228197;17182554;17982049;18375954
Rela,Il23a,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17982049;18375954;19624579
Stat3,Il23a,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19185846
Smad3,Il23a,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,18802055
Rel,Il23a,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18523276;17182554;17982049;19624579
Jun,Il27,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21482740
Fos,Il27,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21482740
Irf1,Il27,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20083668;24214980;20435892
Nfkb1,Il2ra,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,2497520;8029023;9115639
Nfkb1,Il4,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15938622;19915002
Jun,Il4,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12594266;18768853;9889198
Egr1,Il4,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19915002
Pparg,Il4,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,14573767
Foxa2,Il4,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,20483781
Ets1,Il5,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16373364
Lef1,Il5,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,18579517
Gata3,Il5,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16373364;17111354;17717199;25861992;16009272
Rela,Il6,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18996370;22661093;11564778;16166627;20351184
Jun,Il6,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15649404;18490655;20351184
Stat3,Il6,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11049111
Stat1,Il6,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,19703987
Sirt1,Il6,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,23262029
Ppara,Il6ra,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,14764586
Twist1,Il6ra,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,23935104
Ets1,Il7r,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21148801
Foxo1,Il7r,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19136962
Smad3,Il9,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,23913959;22503540
Smad4,Il9,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,24108699
Spi1,Il9,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,22904310
Trp53,Insr,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,8665514
Pparg,Insr,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,18310298
Stat1,Irf1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11870615
Ets1,Itga2b,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10210321
Spi1,Itga2b,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10210321
Sp1,Itga5,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21592318
Jun,Itga5,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21592318
Sp1,Itga6,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17652716
Sp3,Itga6,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17652716
Egr1,Itga7,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9254668
Myod1,Itga7,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16129691;8798472
Nfkb1,Itgam,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17722035
Sp1,Jak3,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16518416
Stat3,Jak3,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14976041;16518416
Sp1,Jund,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,1714380
Egr1,Jund,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,1714380
Nfkb1,Kcnip2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,23573265
Sp1,Kdm5a,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,25015565
Sp1,Klf16,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18472212
Trp53,Klf2,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,23202365
Pou5f1,Klf2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19951688
Trp53,Klf4,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10749849
Stat3,Klf4,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19951688
Jun,Krt18,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,1696235
Fos,Krt18,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,1696235
Trp53,Krt19,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11146550
Sp1,Krt5,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12024040
Sp1,Lama1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12519763;15220343
Sp3,Lama1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12519763;15220343
Yy1,Lama1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15220343
Nfkb1,Lcn2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16322095
Nfkb1,Lef1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17445771
Ctnnb1,Lef1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12095232
Tcf3,Lef1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,22573616
Pitx2,Lef1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17785445;20816801
Sox2,Lef1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,24487391
Pou5f1,Lefty1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16954384
Sox2,Lefty1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16954384
Sp1,Lgals1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10760565;9931450
Snai1,Lin28a,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,25240402
Nanog,Lin28a,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,25240402
Sp1,Lipe,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11812735
Sp3,Lipe,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11812735
Srebf1,Lipe,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16234270
Usf1,Lipe,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11812735
Sp1,Lor,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,23341029
Jun,Lor,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,23341029
Foxo1,Lpl,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12586369
Ppara,Lpl,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10634806
Nfkb1,Ltc4s,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,16980379
Rela,Ltc4s,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,16980379
Sp1,Ltf,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,15265983
Trp53,Ltf,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,15265983
Esr1,Ltf,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15525592
Jun,Maf,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14521912
Stat3,Maf,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15728480
Pparg,Maf,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,14521912
Pax6,Maf,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14521912
Myod1,Maf,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14521912
Trp53,Mapk1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18310282
Esr2,Mapk1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,19211725
Nfkb1,Mapk14,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19273233
Egr1,Mapk14,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9671412
Irf1,Mapk14,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12232043
Egr1,Mapk8,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9671412
Esr2,Mapk8,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,19211725
Trp53,Mcm7,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,15899946
Trp53,Mcts1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,21138557
Nfe2l2,Mdm2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21211512
Stat1,Mdm2,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,14602726
Ets2,Mdm2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12750288
Pitx2,Mef2c,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21389672
Lef1,Mesp1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,23417899
Pou5f1,Mesp1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,23417899
Rela,Met,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19530226
Jun,Met,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10713700
Sp3,Met,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,10713700;12473536
Egr1,Met,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,12569082
Pax6,Met,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19651775
Sp1,Mfn2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,22253285
Sp1,Mgarp,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,23209644
Trp53,Mgmt,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,17564708
Sp1,Mgp,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19306294
Sp3,Mgp,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,19306294
Runx2,Mgp,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19306294
Sp1,Mif,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19747950
Ets1,Mir126a,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20671229
Ets2,Mir126a,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20671229
Snai1,Mir290a,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,25240402
Nanog,Mir290a,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,25240402
Snai1,Mir295,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,25240402
Nanog,Mir295,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,25240402
Tcf3,Mir302a,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,24040406
Pou5f1,Mir302a,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20857206;24040406
Smad3,Mir433,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,23868013
Nr0b2,Mir433,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,18776219
Ctnnb1,Mmp13,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17971297
Ets1,Mmp13,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9178763
Runx2,Mmp13,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,25802132;19415460
Spi1,Mmp13,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,9178763
Lef1,Mmp13,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17971297;19783677
Nfkb1,Mmp14,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21627988
Rela,Mmp14,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21627988
Egr1,Mmp14,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10428849
Stat3,Mmp2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15116091
Snai1,Mmp2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16826572
Jun,Mmp7,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11158322
Ctnnb1,Mmp7,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11158322;11943708;15817151;10362259
Lef1,Mmp7,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11158322
Sp1,Mmp9,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,8226872
Nfkb1,Mmp9,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15757961;20332214;20515776;24825862;8226872;12387824;13679081;16780951;16816114;17244487;17828308;19631264;21316417;23161884
Rela,Mmp9,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20515776;21502320;23161884;24894401
Jun,Mmp9,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,8226872;10022864;11114721;13679081;14565943;21940623;23720741
Egr1,Mmp9,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20332214
Sp1,Mrc1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,9354684
Spi1,Mrc1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,9354684
Nfkb1,Msx1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11518509
Foxa2,Msx1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,22696295
Lef1,Msx2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14551209
Yy1,Msx2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11861914
Stat3,Mt1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9854025
Nfe2l2,Mt1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18445702
Ep300,Mt1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21467744
Stat1,Mt1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9854025
Usf1,Mt1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9020035;11213479
Trp53,Mxi1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,21665145
Myc,Mxi1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,14716294
Sp1,Myb,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10567569;2481264
Nfkb1,Myb,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10602492;9362453
Ep300,Myb,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11585920
Sp1,Myc,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,12153142
Rela,Myc,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,8289784;12471115
Stat3,Myc,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,20067773;15673569
Smad3,Myc,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,14993291;15241418
Cebpb,Myc,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,21098707
Ctnnb1,Mycn,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15907834
E2f1,Mycn,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16582100;16931907
Ctnnb1,Myf5,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16936075
Myod1,Myf5,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,1330322
Pitx2,Myf5,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21035439
Sp1,Myh11,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,8635248
Smad3,Myocd,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,21402709
Msx2,Myocd,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,17030628
Jun,Myod1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,19723510;8120060
Ep300,Myod1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,23928680;9029156
Pitx2,Myod1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20978076;21035439
Pou5f1,Myod1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,21425413
Trp53,Myog,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,25501595
Gata4,Myog,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,22773876
Nfkb1,Myoz2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17341303
Mef2c,Myoz2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17341303
Jun,Nacc1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14521994
Fos,Nacc1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14521994
Trp53,Nanog,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,15619621;24126347
Ctnnb1,Nanog,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17196549
Tcf3,Nanog,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,16894029;18483421;21402155
Pou5f1,Nanog,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18687992;22745796;15860457;16541131;19528230;19816951;22787153;25743411
Sox2,Nanog,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,22745796;15860457;16541131;20872845;22787153
Trp53,Ndrg1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18445702
Myc,Ndrg1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,10381566
Jun,Nefl,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,8180132
Fos,Nefl,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,8180132
Esr1,Nell2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20538601
Esr2,Nell2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20538601
Ep300,Neurod1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14752053
Nr0b2,Neurod1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,14752053
Tcf3,Neurog1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,24832538
Pax6,Neurog1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,22077982
Sox2,Neurog1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,23447599;22513373
Jun,Nfe2l2,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,19671797;19326073
Fos,Nfe2l2,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,19671797
Rela,Nfkb1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,1740105;18772349;15755876
Jun,Nfkb1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,8896238;1740105
Nfe2l2,Nfkb1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,24521946
Notch1,Nfkb1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11591772
Crebbp,Nfkb1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11463834
Nfkb1,Nfkbia,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12545162
Ppara,Nfkbia,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14976045;19438714
Nfkb1,Nfkbiz,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12831461;15527973;15522867
Egr1,Ngfr,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18378044;17916431
Mitf,Ngfr,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9326226
Smad4,Nkx2-5,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14662776;21152044
Smad1,Nkx2-5,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14662776
Ahr,Nkx2-5,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,22684894
Stat3,Nos2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14978160
Fos,Nos2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14565925;7508407
Stat1,Nos2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10586055;11870615;12162464;12417260;12667213;8995425;17689680;18274639;18656624
Rel,Nos2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10437651;8700141;23646894;23831355;24360823
Ets2,Nos2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12896968
Sp1,Nos3,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12089157;18252813;15180995
Foxo1,Nos3,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,16100571
Sp1,Npr1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20864529;24451378
Ets1,Npr1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16517010;19487584;20864529;18651838
Ep300,Npr1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19487584;24451378
Nfkb1,Nqo1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,18752316
Nfe2l2,Nqo1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16785233;18474683;19474220;21097520;25107906;17278884
Ahr,Nqo1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19474220;23800876
Trp53,Nr0b2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,22034226
Srebf1,Nr0b2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15123650
Ep300,Nr0b2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18842595
Pax6,Nr2e1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,24073291
Sox2,Nr2e1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,22194602
Jun,Nr3c1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9657066;9259052
Fos,Nr3c1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9657066
Tcf3,Nr5a2,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,24648413
Nr0b2,Nr5a2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19638401;20375098
Esr1,Nrf1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,23892277
Sp1,Nrgn,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21068393
